Entity,Code,Year,number_hos_men_vdem_owid,number_hos_women_vdem_owid
North America,,1977,15,0
North America,,1978,15,0
North America,,1979,15,0
North America,,1980,15,0
North America,,1981,15,0
North America,,1982,15,0
North America,,1983,15,0
North America,,1984,14,1
North America,,1985,14,1
North America,,1986,14,1
North America,,1987,14,1
North America,,1988,14,1
North America,,1989,14,1
North America,,1990,12,3
North America,,1991,13,2
North America,,1992,13,2
North America,,1993,13,2
North America,,1994,13,2
North America,,1995,14,1
North America,,1996,14,1
North America,,1997,15,0
North America,,1998,15,0
North America,,1999,13,2
North America,,2000,13,2
North America,,2001,13,2
North America,,2002,13,2
North America,,2003,13,2
North America,,2004,14,1
North America,,2005,14,1
North America,,2006,14,1
North America,,2007,14,1
North America,,2008,14,1
North America,,2009,14,1
North America,,2010,14,1
North America,,2011,14,1
North America,,2012,14,1
North America,,2013,14,1
North America,,2014,15,0
North America,,2015,15,0
North America,,2016,15,0
North America,,2017,14,1
North America,,2018,12,3
North America,,2019,12,3
North America,,2020,12,3
North America,,2021,12,3
North America,,2022,11,4
Oceania,,1789,1,0
Oceania,,1790,1,0
Oceania,,1791,1,0
Oceania,,1792,1,0
Oceania,,1793,1,0
Oceania,,1794,1,0
Oceania,,1795,1,0
Oceania,,1796,1,0
Oceania,,1797,1,0
Oceania,,1798,1,0
Oceania,,1799,1,0
Oceania,,1800,1,0
Oceania,,1801,1,0
Oceania,,1802,1,0
Oceania,,1803,1,0
Oceania,,1804,1,0
Oceania,,1805,1,0
Oceania,,1806,1,0
Oceania,,1807,1,0
Oceania,,1808,1,0
Oceania,,1809,1,0
Oceania,,1810,1,0
Oceania,,1811,1,0
Oceania,,1812,1,0
Oceania,,1813,1,0
Oceania,,1814,1,0
Oceania,,1815,1,0
Oceania,,1816,1,0
Oceania,,1817,1,0
Oceania,,1818,1,0
Oceania,,1819,1,0
Oceania,,1820,1,0
Oceania,,1821,1,0
Oceania,,1822,1,0
Oceania,,1823,1,0
Oceania,,1824,1,0
Oceania,,1825,1,0
Oceania,,1826,1,0
Oceania,,1827,1,0
Oceania,,1828,1,0
Oceania,,1829,1,0
Oceania,,1830,1,0
Oceania,,1831,1,0
Oceania,,1832,1,0
Oceania,,1833,1,0
Oceania,,1834,1,0
Oceania,,1835,1,0
Oceania,,1836,1,0
Oceania,,1837,1,0
Oceania,,1838,1,0
Oceania,,1839,1,0
Oceania,,1840,1,0
Oceania,,1841,2,0
Oceania,,1842,2,0
Oceania,,1843,2,0
Oceania,,1844,2,0
Oceania,,1845,2,0
Oceania,,1846,2,0
Oceania,,1847,2,0
Oceania,,1848,2,0
Oceania,,1849,2,0
Oceania,,1850,2,0
Oceania,,1851,2,0
Oceania,,1852,2,0
Oceania,,1853,2,0
Oceania,,1854,2,0
Oceania,,1855,2,0
Oceania,,1856,2,0
Oceania,,1857,2,0
Oceania,,1858,2,0
Oceania,,1859,2,0
Oceania,,1860,2,0
Oceania,,1861,2,0
Oceania,,1862,2,0
Oceania,,1863,2,0
Oceania,,1864,2,0
Oceania,,1865,2,0
Oceania,,1866,2,0
Oceania,,1867,2,0
Oceania,,1868,2,0
Oceania,,1869,2,0
Oceania,,1870,2,0
Oceania,,1871,2,0
Oceania,,1872,2,0
Oceania,,1873,2,0
Oceania,,1874,2,0
Oceania,,1875,2,0
Oceania,,1876,2,0
Oceania,,1877,2,0
Oceania,,1878,2,0
Oceania,,1879,2,0
Oceania,,1880,2,0
Oceania,,1881,2,0
Oceania,,1882,2,0
Oceania,,1883,2,0
Oceania,,1884,2,0
Oceania,,1885,2,0
Oceania,,1886,2,0
Oceania,,1887,2,0
Oceania,,1888,2,0
Oceania,,1889,2,0
Oceania,,1890,2,0
Oceania,,1891,2,0
Oceania,,1892,2,0
Oceania,,1893,2,0
Oceania,,1894,2,0
Oceania,,1895,2,0
Oceania,,1896,2,0
Oceania,,1897,2,0
Oceania,,1898,2,0
Oceania,,1899,2,0
Oceania,,1900,6,0
Oceania,,1901,6,0
Oceania,,1902,6,0
Oceania,,1903,6,0
Oceania,,1904,6,0
Oceania,,1905,6,0
Oceania,,1906,6,0
Oceania,,1907,6,0
Oceania,,1908,6,0
Oceania,,1909,6,0
Oceania,,1910,6,0
Oceania,,1911,6,0
Oceania,,1912,6,0
Oceania,,1913,6,0
Oceania,,1914,6,0
Oceania,,1915,6,0
Oceania,,1916,6,0
Oceania,,1917,6,0
Oceania,,1918,6,0
Oceania,,1919,6,0
Oceania,,1920,6,0
Oceania,,1921,6,0
Oceania,,1922,6,0
Oceania,,1923,6,0
Oceania,,1924,6,0
Oceania,,1925,6,0
Oceania,,1926,6,0
Oceania,,1927,6,0
Oceania,,1928,6,0
Oceania,,1929,6,0
Oceania,,1930,6,0
Oceania,,1931,6,0
Oceania,,1932,6,0
Oceania,,1933,6,0
Oceania,,1934,6,0
Oceania,,1935,6,0
Oceania,,1936,6,0
Oceania,,1937,6,0
Oceania,,1938,6,0
Oceania,,1939,6,0
Oceania,,1940,6,0
Oceania,,1941,6,0
Oceania,,1942,6,0
Oceania,,1943,6,0
Oceania,,1944,6,0
Oceania,,1945,6,0
Oceania,,1946,6,0
Oceania,,1947,6,0
Oceania,,1948,6,0
Oceania,,1949,6,0
Oceania,,1950,6,0
Oceania,,1951,6,0
Oceania,,1952,6,0
Oceania,,1953,6,0
Oceania,,1954,6,0
Oceania,,1955,6,0
Oceania,,1956,6,0
Oceania,,1957,6,0
Oceania,,1958,6,0
Oceania,,1959,6,0
Oceania,,1960,6,0
Oceania,,1961,6,0
Oceania,,1962,6,0
Oceania,,1963,6,0
Oceania,,1964,6,0
Oceania,,1965,6,0
Oceania,,1966,6,0
Oceania,,1967,6,0
Oceania,,1968,6,0
Oceania,,1969,6,0
Oceania,,1970,6,0
Oceania,,1971,6,0
Oceania,,1972,6,0
Oceania,,1973,6,0
Oceania,,1974,6,0
Oceania,,1975,6,0
Oceania,,1976,6,0
Oceania,,1977,6,0
Oceania,,1978,6,0
Oceania,,1979,6,0
Oceania,,1980,6,0
Oceania,,1981,6,0
Oceania,,1982,6,0
Oceania,,1983,6,0
Oceania,,1984,6,0
Oceania,,1985,6,0
Oceania,,1986,6,0
Oceania,,1987,6,0
Oceania,,1988,6,0
Oceania,,1989,6,0
Oceania,,1990,5,1
Oceania,,1991,5,1
Oceania,,1992,5,1
Oceania,,1993,5,1
Oceania,,1994,5,1
Oceania,,1995,5,1
Oceania,,1996,6,0
Oceania,,1997,6,0
Oceania,,1998,6,0
Oceania,,1999,6,0
Oceania,,2000,6,0
Oceania,,2001,5,1
Oceania,,2002,5,1
