Country name,Country code,Region,Subregion,Current female head of state,Names of elected and appointed female heads of state or governments with dates,Names of elected and appointed female heads of state or governments since 1946,Number of elected and appointed female heads of state or governments since 1946,Percentage of ministerial positions held by women,Rank of ministerial positions held by women,Percentage of seats held by women in the national legislature,Rank of seats held by women in the national legislature,Percentage of female candidates in the most recent elections to the national legislature,Rank of female candidates in the most recent elections to the national legislature,Percentage of elected seats held by women in local government bodies,Rank of elected seats held by women in local government bodies,Political parity score,Political parity score rank
Tajikistan,TJK,Russia and Central Asia,Central Asia,, ,,0,14.29,129,26.60,90,19.92,58,-1,-1,19.5,126
Thailand,THA,Asia and the Pacific,South Asia,,"Yingluck Shinawatra (July 3, 2011 to May 7, 2014)",Yingluck Shinawatra,1,5.26,176,16.42,144,-1,-1,20.50,94,13.7,156
Togo,TGO,Sub-Saharan Africa,West Africa,Victoire Tomegah Dogbe,"Victoire Tomegah Dogbe (September 28, 2020 to Incumbent)",Victoire Tomegah Dogbe (current),1,23.08,80,18.89,131,-1,-1,-1,-1,19.3,129
Tonga,TON,Asia and the Pacific,Australasia and Pacific,, ,,0,10.00,156,7.14,171,-1,-1,-1,-1,6.3,183
Trinidad and Tobago,TTO,Americas,Caribbean,Christine Kangaloo,"Kamla Persad-Bissessar (May 26, 2010 to September 9, 2015), Paula-Mae Weekes (March 19, 2018 to Incumbent)","Kamla Persad-Bissessar, Paula-Mae Weekes, Christine Kangaloo (current)",3,31.82,53,33.78,50,30.00,38,-1,-1,39.4,55
Tunisia,TUN,Middle East and North Africa,North Africa,,#-2, Najla Bouden Romdhane,1,33.33,42,15.69,146,-1,-1,48.50,4,41.3,49
Turkey,TUR,Europe,Southeastern Europe,,"Tansu Ciller (June 13, 1993 to March 6, 1996)",Tansu Ciller,1,5.88,174,19.87,127,-1,-1,10.10,124,11.5,166
Turkmenistan,TKM,Russia and Central Asia,Central Asia,, ,,0,5.88,174,25.60,95,-1,-1,21.9,91,17.2,140
Tuvalu,TUV,Asia and the Pacific,Australasia and Pacific,, ,,0,0.00,184,0.00,187,3.03,86,12.5,118,3.5,188
Uganda,UGA,Sub-Saharan Africa,East Africa,, ,,0,33.33,42,33.93,48,-1,-1,22.10,90,32.5,67
Ukraine,UKR,Europe,Eastern Europe,,"Yulia Tymoshenko (January 24, 2005 to September 6, 2005), Yulia Tymoshenko (December 18, 2007 to March 3, 2010)",Yulia Tymoshenko,1,21.05,88,21.09,117,22.54,52,29.8,62,25.8,87
United Arab Emirates,ARE,Middle East and North Africa,Middle East,, ,,0,17.65,104,50.00,1,41.61,18,-1,-1,48.2,34
United Kingdom,GBR,Europe,Western Europe,,"Margaret Thatcher (May 4, 1979 to November 28, 1990), Theresa May (July 13, 2016 to July 24, 2019)","Margaret Thatcher, Theresa May",2,33.33,42,31.59,59,33.77,31,35.3,35,45.0,41
Tanzania,TZA,Sub-Saharan Africa,Southern Africa,Samia Hassan Suluhu,"Samia Suluhu Hassan (March 18, 2021 to Incumbent)",Samia Hassan Suluhu (current),1,30.00,60,37.40,37,-1,-1,30.70,53,37.9,57
United States,USA,Americas,North America,, ,,0,33.33,42,28.38,79,-1,-1,-1,-1,29.9,74
Uruguay,URY,Americas,South America,, ,,0,14.29,129,26.92,88,-1,-1,31.70,50,25,94
Uzbekistan,UZB,Russia and Central Asia,Central Asia,, ,,0,4.76,179,30.53,67,41.33,19,-1,-1,29.9,74
Vanuatu,VUT,Asia and the Pacific,Australasia and Pacific,, ,,0,0,184,1.96,185,-1,-1,10.10,124,3.3,189
Venezuela,VEN,Americas,South America,, ,,0,28.13,63,-1,-2,37.30,27,-1,-1,32.9,65
Vietnam,VNM,Asia and the Pacific,South Asia,, ,,0,11.11,146,30.63,66,-1,-1,29,67,24.4,99
Yemen,YEM,Middle East and North Africa,Middle East,, ,,0,0.00,184,0.30,186,-1,-1,-2,-2,0.1,192
Zambia,ZMB,Sub-Saharan Africa,Southern Africa,, ,,0,16,118,14.97,148,-1,-1,7.1,129,11.1,168
Zimbabwe,ZWE,Sub-Saharan Africa,Southern Africa,, ,,0,23.81,77,33.13,55,-1,-1,12,119,23.6,104
,,,,, ,,,,,,,,,,,,
